,日付,タイトル,本文
287,2019年6月14日,キャロットラペ-シリーズ2-,こんにちは、こうすけです。今日の薬膳テロワールレシピは、引き続き「キャロット・ラペ」のご紹介。前回の記事でも書きましたが、ニンジンは、薬膳では重宝されていた食材です。体にエネルギーを与えるためにも、「食べる」というのは、大切です。その「食べる」を充実するためにも、消化機能促進に役立つニンジンは、美味しく食べたい食材ですね。今日のアレンジ版は、クコの実入りキャロット・ラペです。クコの実は、ニンジン同様、味は甘く、穏やかな性質を持っています。肝や腎を養い、疲れ目や肺の機能促進、乾燥による咳などに役立ちます。【材料：2~3人前】ニンジン：1本はちみつ：小さじ1ビネガー：20~30ccニョンスオリーブオイル：80cc~ゲランドの塩　顆粒：ひとつまみクコの実：10粒基本的な作り方は、前回と同様です。調理器具は、変わらず、この辺りが揃っていると便利です。今回のアレンジ版は、ドレッシングをアレンジ。ドレッシングにクコの実を使うのですが、クコの実は、そのまま食べると、歯にくっついて、食べづらいので、あらかじめビネガーに浸しておきます。ニンジンの下処理をする前につけておくと、程よい食感になっています。それでは、ニンジンを擦りおろしていきます。ニンジンを擦りおろしたら、ドレッシング作りに。今回もきちんと乳化させていきます。今回とろみに使うのは、マスタードの代わりに、ハチミツです。そこに、またオリーブオイルを少し加えて、混ぜます。これが今回の乳化した状態です。ここまできたら、残りのオイルを多めに加えつつ、更に混ぜていきます。好みのオイリーさに近づいたら、塩を加えて、味を整えます。このドレッシングに、先ほどのニンジンを加えて混ぜたら完成です。ハチミツの甘みも効いた、ほんのり甘酸っぱいドレッシングのキャロット・ラペに仕上がりました。ハチミツにも、もちろん薬膳的な力あります。胃の機能を整えたり、便秘や疲労回復、空咳などにオススメです。クコの実とも相性がいいですね（ただ、ハチミツもクコもお腹を下しやすい人は控えた方が良いです）。美味しく食べて、エネルギー補充です。 
308,2020年1月6日,2020年のご挨拶,明けまして、おめでとうございます。昨年は、ホームページをリニューアルし、オンラインショッピングも一新。ただ、中々ブログの更新が難しい1年になってしまいました。 ということで、今年は心機一転。コツコツと毎日投稿していきたいと思います。レシピや、商品紹介、イベントなど、今年は、盛り沢山でいきたいと思います。 本年もどうぞ、よろしくお願いいたします。
325,2020年1月7日,じゃがいものポタージュ,こんばんは、こうすけです。年明けから気づけば１週間。関東でも明日は雪などと言われるほどに、寒さが増しますね。今回の年末年始は、比較的お休みの日が多く、随分とだらだらと過ごしてしまいました。そして、気づけば食べ過ぎ……寒い朝は、温かいお雑煮が染みました。お餅、ついつい食べてしまうんですよね。お餅は、食べると元気の出る食材ですが、やはり、食べ過ぎは、消化に良くない。結果的に胃腸に負担がかかってしまいます。ということで、今日は、年末年始の休みを経て、胃腸を使いすぎた方に送る薬膳テロワールレシピです。 『じゃがいものポタージュ』じゃがいもは、胃腸の調子を調え、気を補い、消化機能を高めてるのに役立ちます。そこに、寒さを散らし、体を温めて気を巡らせるねぎ、胃腸の働きを高め、体を温める生姜を加えます。この寒い日々を乗り越えるのにもってこいです。【必要な材料（2人分）】じゃがいも…1個太ねぎ…1/4本生姜…1/2片かつお節…8g水…250ml豆乳…50mlあら塩…適量オリーブオイル…適量胡椒…お好みで まず、ポタージュのベースに使う出汁を取ります。今回は、旨味を引き出しつつも、優しい味わいにしたいので、かつお出汁で、あっさり和風に。美味しくかつお出汁を取るコツは、1.鍋に水を入れて沸騰させる。2.火を消して、鰹節をお湯に一気に入れる。3.かつお節が鍋の底に沈むまで、1〜2分放置。4.ザルに布巾か濡らしたクッキングシートを敷いて、こす。です。お湯を沸かしている間に、ねぎの下準備をしておくと、効率的です。ネギの白い部分は、細く斜め切りにしておきます。青い部分は、直接は使わないのですが、せっかくなので、先ほどのかつお出汁で、煮込んでしまって、旨味をいただきます。かつお出汁を取っただけで、すでにいい香りがします。 では次に、野菜を調理していきます。下準備をしましょう。ねぎは、先ほどの斜め切りを使います。生姜は、みじん切り。じゃがいもは半分に切ったものを薄くスライスして、水に浸けておきます（少し軽く仕上げたいので、水に浸けて、でんぷんを取ってしまいます）。鍋にオリーブオイル（分量外）を入れて、そこに生姜のみじん切りを加えて、ごく弱火で炒めます。生姜の香りがふわっと立ったら、ねぎを加えます。ここで大事なのが、ねぎを入れたらすぐに塩（顆粒：分量外）をひとつまみ、加えること。こうしてから炒めることで、ねぎから水分が出てきて、旨味がぐっと増すんです。引き続きごく弱火で、じっくり丁寧に炒めます。この時、基本的にねぎは放置。たまに焦げ付かないようにかき混ぜる程度。次第にねぎがしんなりとしてきます。全体的にしんなりしてきたら、先ほど水に浸けておいたじゃがいもを加えます。ねぎが焦げないように注意しつつ、じゃがいもがほっくりするまで炒めます（うっすら焦げ目がつくくらいに炒めると、香ばしく仕上がります）。そして、ここで先ほどの出汁を加えます。もう、この時点で、すでに美味しい。炒めたねぎとじゃがいもの旨味が出汁に染み込んでいきます。出汁を加えたら、沸騰させないように気をつけて、じゃがいもがしっかり柔らかくなるまで、煮込みます。じゃがいもが柔らかくなったら、出汁ごとミキサーにかけます。これで、しっかりポタージュ状になりました。ザルで漉しながら、鍋に戻します。いい具合にとろっとしたポタージュになってくれました。最後に豆乳を加えて、全体をさらっとさせます。豆乳を加えたら、あら塩を入れて、味を整えたら、完成です。あら塩は、粒が大きいので、こういったスープや煮込みの味付けにもってこいです。じっくりと旨味が溶けていきます。お好みで、胡椒をふったり、オリーブオイルを加えても美味しいです。全体を伸ばすために使った豆乳は、元気をつけるのを助けてくれます。体に必要な水分を補ってくれるので、このポタージュ、飲み過ぎの翌日にもオススメです。 
332,2020年1月8日,具沢山四代味噌汁,こんばんは、こうすけです。今日は、何だか変な天気でしたね。朝はどんより、そして突然の土砂降り、かと思いきや急な晴れ間。1日の天気とは思えないくらいの変わり様でした。こうなると、心も体も疲れてしまいますね。こういう時は、温かくて元気の出る具沢山のお味噌汁はいかがでしょうか？ 『具沢山四代味噌汁』郷土料理っぽい名前ですが、特にこういう名前の郷土料理があるわけではなく…具材に味噌納豆豆腐油揚げを使っているので、大豆の四世代の様だなということで、勝手につけた駄洒落の様な名前の料理です。【必要な材料（2人分）】味噌…大さじ２納豆…２パック豆腐…一丁油揚げ…2枚太ネギ…１本紅菜苔（コウサイタイ：紅菜花）：半束卵…1個昆布…1枚今回は、紅菜台というちょっと珍しい野菜がたまたま手に入ったので使っています。菜花の親戚の様なものなので、菜花でももちろん大丈夫です。そろそろ菜花が美味しい時期になりますね。菜花以外の野菜でも美味しいです。 今日のレシピは、結構大雑把に行きます、もう切って煮込むだけ、くらいのスタンスで。そして、一気に調理したので、写真の撮り忘れが酷い（笑）お鍋に水を張って、昆布、豆腐、納豆を入れて、出汁を取りつつ、食材に火を入れていきます。その後、紅菜苔を加えて、程よく柔らかくなるまで煮込んでいきます。紅菜苔に火が通ったら、ネギがしんなりするまで煮込み、火を消して味噌を溶きます（味噌に含まれる乳酸菌は熱に弱いため）。そして、最後に溶き卵を加えたら完成です。 具沢山で熱々なので、お腹も満ちて、体が芯からあったまります。 薬膳では納豆も豆腐も味噌も解毒作用があると考えられています（油揚げについては、特記されていませんでした）。味噌は余計な水分を排出してむくみをとったり、豆腐は疲労回復や潤いを与えてくれます。ただ、意外なことにどちらも体を冷やす食材なので、食べ過ぎには注意。とはいえ、お味噌汁にするので、冷やす作用は控えめになるかと。そこに温かい食材の納豆や、ねぎ、菜花も入れているので、体はしっかり温まります。納豆は、血行改善や美肌、冷え改善など嬉しい作用がたくさん。ねぎは胃腸の機能を高め、菜花は血行促進に。卵には、実は精神安定の作用があるので、今日の様な変な天気の日にはもってこいですね。  
336,2020年1月9日,話すということ,こんにちは、こうすけです。 人とお喋りをすると、普段自分が無意識のうちに考えていたことが、整理されて、新しい発見をすることがあります。そういう時、とてもワクワクしている自分に気づけると、さらに嬉しい。 今日は、地元の美容院でカットをしてもらいました。ずいぶんのびてきていたので、カットしてもらうと気持ちがいいですね。すっきりするので、気の巡りも良くなった様な気がします。僕にとって、美容院での楽しみは、カットしてもらう他に、美容師さんとのお喋りです。最近見た映画の話だったり、仕事の話だったり、休みの日の過ごし方だったり、色々な話をします。 それが、最初の話につながります。 今日は、薬膳の話になりまして。食材とその効能の話や、体質に合わせた食材選び、簡単なケアの仕方、そもそも体質を知るにはどうしたらいいか、朝一番の食養生は？　などなど、普段から意識している内容ではあるのですが、人に話すことを意識して喋ると、どう伝えたら分かりやすいのか、楽しんでもらえるのか、色々考えながら話すことが出来ていました。そうなると色々とアイディアが浮かんできて、楽しくなります。食材の話をしようか、体質の話をしようか、簡単な薬膳の話をしようか、発信方法をWebだけにするのか、何か講座はできないか、そんなことを考えていると、とてもワクワクします。これから、コツコツ充実させていきたいと思います。 今日の写真は、そんな楽しい時間を過ごせた美容院さんからの眺め。日本一眺めのいい美容院じゃないかな、と思っています。
339,2020年1月10日,クコ湯,こんばんは、こうすけです。皆さんは、朝起きてすぐに何を口にしますか？僕は起きぬけは、白湯を飲むようにしています。寝ている間に出ていった水分補給や、休んでいた内臓も起こしてあげるようなイメージですね。白湯の作り方にも作法があるのですが、それはまたの機会に。 さて、僕は白湯を飲む際には、クコの実を入れて飲むようにしています。クコは、肝腎の機能を養ったり、肺の機能を高める作用があると言われる食材。最近は、ゴジベリーという名前で、スーパーフードとしても注目されていますね。とはいえ食べ過ぎは良くないので、５粒ほど入れて飲んでいます。クコの実は、大体干したものをよく使うのですが、この白湯を作る過程でクコの実を入れておくと、白湯が飲み頃の時には、程よい食感になり、またほんのりとした甘味が白湯の中に広がっています。目覚めのひと時を穏やかに過ごせます。  
344,2020年1月11日,焼きみかん-朝の薬膳その2-,こんばんは、こうすけです。一昨日に引き続き、寝起きの話をしたいと思います。朝の習慣として、クコ入りの白湯を飲んだ後は、少し果物を摂ります。今の時期は、やはりみかんかりんごが美味しいですね。寝起きのエネルギー補給といった感覚で摂っています。ただ、やはり果物は水分も多いのですし、特に冷蔵庫から出したては、冷たい。冬の朝に食べると、体を冷やしてしまいます。でも、やっぱり食べたい。ということで、僕がやっている、一番楽な対策が焼くです。白湯を作って、飲んでいる間にオーブンで果物を焼いてしまいます。今回は、みかん。皮を剥かずに、オーブンで15分くらい温めます。目安は、皮に焦げ目が出来るくらいですね。 焼き上がったみかんは、焼く前よりもパンパンに張りが出ています。皮を剥くときは、めちゃくちゃ熱いので、気をつけてくださいね。中身も、ぷっくぷくに。そして、何より甘味が増しています。 みかんは、元々温性の性質を持つ果物ですので、常温で食べていただいてももちろん大丈夫です。僕は、体質的に冷えに弱いので、温めて食べています。あと、美味しい（笑）逆にもともと体に熱がこもりやすい人は、食べすぎると、ほてる可能性があるので、気をつけてくださいね。 柑橘類特有の爽やかな香りは、気をめぐらせる効果があるので、イライラ解消におすすめ。冷え性改善、胃腸機能の促進や、免疫増強、疲労回復にも期待できますよ。
349,2020年1月13日,オリジナルノート発売します！,こんにちは、こうすけです。 本日は、新商品のお知らせです。 この度、レートル・エ・ル・ニャン オリジナルノートを販売することになりました。 デザインは、昨日のブログでご紹介した、門田千明さんにお願いしました。 ノートは２種類まずは、イメージカラーの青に魚が描かれたバージョン様々な種類の魚たちが、描かれているのですが、鱗の模様が、それぞれに個性があって、とても魅力的です。幾何学的なこの鱗が、すごく良いんです、思わずじっと見入ってしまいます。 もう一冊は、イメージカラーの黄色にレモンが描かれたバージョンです。こちらは、お店で作っている、レモンヴィネガーをイメージして描いていただいています。もうね、浸かってるレモンのバリエーションが、どれも可愛い。そして注目していただきたいのが、瓶の栓です。なんと、魚。細かいところまで、本当に可愛いです。どちらのノートも無地なので、お好きなように使っていただけます。お店でも、webサイトでもお買い求めいただけます。   
360,2020年1月12日,門田さんのこと,こんにちは、こうすけです。 昨日のことですが、嬉しいお客様がお店に。お店の窓や扉などのイラストを描いてくださっている門田千明さんご一家がご来店。 門田さんは、イラストレーターさんです。彼女の描くイラストはただ可愛いだけではなく、ある要素が、とても魅力的です。 それは、「線」。僕は、門田さんの描かれる線がとても好きです。柔らかなタッチのものもあれば、目まぐるしい動きを感じるようなものもあったり、物凄く緻密なものや、ユーモラスなものもあり、こんなに魅力的に線を使う方がいるんだなと、作品を拝見して、すっかり魅了されてしまいました（作品はこちらからご覧いただけます）。イラストを拝見したり、好きなアートや作家の話で盛り上がるうちに、いつか門田さんとお仕事が出来るようになったらなと思うようになりました。 初めは、お店の窓ガラスに定期的にイラストを描いていただいていたのですが、今では、オリジナル商品のデザインをお願いしたり、とても楽しくお仕事をさせていただいています。去年の春には、門田さんの個展をお店でやらせていただく機会もあり、それは楽しい時間を過ごすことが出来ました。今年もまた色んなことが出来たらなぁ、とワクワクしています。  
371,2020年1月14日,朝粥の楽しみ-朝の薬膳その3-,こんばんは。こうすけです。先日から書いている朝の薬膳シリーズ。今日は、朝ごはんについて書きたいと思います。朝ごはんを食べる時に、僕が意識しているのは、大体の7時間前後の断食明けということです。あくまでも個人的な感覚なのですが、朝の食事は、なるべく消化しやすいものにしたいところ。そこで僕は朝ごはんは、朝粥を取るようにしています。最近は、お粥用の炊飯器などもあるので、とても便利。お粥は消化にも良く、何より内臓をしっかりと温めてくれます。体の内側から、目覚めるのに、ぴったりの朝ごはん。お鍋に生米と水、そして鶏ひき肉と、ゲランド塩の顆粒をふたつまみほど入れて、コトコト煮込んでいくだけ。時間はかかりますが、優しい味わいで、気持ちが落ち着きます。鶏ひき肉を入れると、簡単に出汁を取れるので、より美味しいです。鶏肉は脾胃の働きを改善し、元気をつける食材。まさに1日の始まりにうってつけのご飯です。
376,2020年1月15日,みぞれ鍋,こんばんは、こうすけです。今日も今日とて、寒いですね。そろそろ雪の降りそうな気配もしてきました。とはいえ、今年は暖冬という話も聞きます、神奈川で雪を見れるのは、まだ先かな、と思うと、何となく雪が見たくなります。それなら、せめて、テーブルの上で、雪見をしよう。ということで、今日はみぞれ鍋です。大根を一本、これでもかというほど擦り下ろしたら、あとは、好みの具材をたっぷりといれて、いただきます。大根は、消化を促進し、気の巡りを良くし、脾胃の調子を良くしてくれますが、涼性の性質を持っているので、温めて食べるのがおすすめです。具材はもう本当にお好みで。今回は、元気をつけ、体を温めたいので、豚肉とねぎをメインに。豚肉は、平性、気を補い、腎の機能を高めてくれます。疲労回復や虚弱体質改善におすすめ。ねぎは温性で、体を温め、気の巡りを良くしてくれます。この週末は、ぐっと寒くなるようですね。今のうちから、体を温めておくのも良さそうです。
382,2020年1月16日,コートレットその1,こんにちは、こうすけです。無性に、ガツンとした物が食べたくなる時があります。そういう時、大体作りたくなるのが、コートレットです。コートレットは、半身の背肉を肋骨ごとに切り分けたもののこと。そのままグリルしたり、パン粉をつけて、バターや、油でソテーをして食べます。肉の部位以外にも、挽いた肉をコートレット形に整形して、パン粉をつけてグリルしたり、ソテーする料理を指すことも。要は日本のカツの原型ですね。 フランスに行くと、薄切りにした仔牛肉にパン粉をつけて揚げたものがよく出てきます。こちらは、ソテ・パネという調理法で、パン粉をつけてソテーしたもの。日本の豚カツの様に分厚くないので、ガツンとしてるけど、さくっと食べれてしまいます。コートレットを注文すると、割とこのソテ・パネが出てくるので、若干自分の中で、ごちゃごちゃになってますが…..。さて、僕は、普通の豚カツも好きなのですが、このコートレットもかなり好きです。美味しいのはもちろんなのですが、薄い肉を揚げ焼くように作るので、豚カツを作るときの様に、揚げ油を大量に使わなくてもいいから、楽なんです（笑）今回は、２パターンの作り方をお届けしたいと思います。今日はその１。割と力技なタイプです（笑） 豚カツ用の豚肉（肩ロース）に筋目を入れて、包丁の背などでひたすら叩いて、薄く伸ばしていきます。  そうすると、元の肉より大判に広がり、見た目にもインパクトが増します、そして、何より揚げやすい。伸ばしたら、小麦粉を軽くまぶし、今度は卵液にひたします。そして、たっぷりのパン粉にin。いよいよ、ソテーに入ります。フライパンにオリーブオイルとあれば無塩のバターを少し加えて溶かし、そこに肉を投入します、片面が狐色になったら、ひっくり返してもう片面も同じ様にソテーします。両面がしっかり焼けたら、完成です。お好みで、刻んだトマトを載せても美味しいです。 そして、味付けですが、これは海の果実を仕上げにパラリとかけるのが断然おすすめ。塩の食感とほんのりとした甘味が、このカツにすごく合います。ぜひ、お試しくださいね。 
